STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
AK,649334,R_19,649334,731007,80,R_19,15,R_19,1,R_19,67.06,IF19,127.15,IF19,182.63,IF19,309.78,IF19,37214707,IF19,956786,IF19,620107,IF19,1366505,IF19,40158105,IF19,15047708,IF19,9510175,IF19,24557883,IF19,2030654,IF19,689162,IF19,446537,IF19,3166353,IF19,9136746,IF19,36860982,IF19,697262,R_19,0,R_19,0,R_19,0,R_19,697262,R_19,232984,IF19,2232659,IF19,1488545,IF19,116970,IF19,752107,IF19,301071,IF19,43782,IF19,338,R_19,3920,R_19,4258,R_19,4423,IF19,140482,IF19,3109280,IF19,349526,IF19,378335,IF19,5081695,IF19,1516011,IF19,1272760,IF19,3808935,IF19,947765,IF19,2220525,IF19,6029460,IF19,5394,IF19,7840,IF19,14969,IF19,8816,IF19,1752,IF19,295211,IF19,213535,IF19,18255,IF19,958,IF19,563257,IF19,643913,IF19,3455774,01/01/2018,06/30/2019,02,2019,08
AL,4874747,R_19,4874747,4874747,223,R_19,72,R_19,14,R_19,340.81,R_19,767.68,R_19,901.06,R_19,1668.74,R_19,97634693,R_19,4848159,R_19,980316,R_19,9516923,R_19,112980091,R_19,58089045,R_19,16296773,R_19,74385818,R_19,6480196,R_19,2305995,R_19,2072024,R_19,10858215,R_19,22883946,R_19,108127979,R_19,1305648,R_19,0,R_19,20000,R_19,255146,R_19,1580794,R_19,3069901,R_19,8693533,R_19,8968322,R_19,434174,R_19,4398555,IF19,715556,R_19,478847,IF19,661,R_19,13664,R_19,14325,R_19,7414,R_19,617927,R_19,14451907,R_19,3627890,IF19,2555947,R_19,20623478,R_19,7063233,R_19,3579917,R_19,17043561,R_19,9829902,R_19,13409819,R_19,30453380,R_19,398140,IF19,407193,IF19,62178,R_19,29289,R_19,8123,IF19,1462840,R_19,909660,R_19,172129,IF19,4767,R_19,3415488,IF19,8609919,IF19,11199477,10/01/2018,09/30/2019,01,2019,05
AR,2891314,R_19,2753540,2988248,60,R_19,167,R_19,3,R_19,162.02,IF19,390.86,IF19,736.64,IF19,1127.5,IF19,75076372,IF19,5648939,IF19,17115,IF19,7779631,IF19,88522057,IF19,39206628,IF19,12606334,IF19,51812962,IF19,4907907,IF19,2888017,IF19,1700807,IF19,9496731,IF19,18002370,IF19,79312063,IF19,2238356,IF19,109866,IF19,0,IF19,32893,IF19,2381115,IF19,10560985,IF19,5897291,IF19,3909643,IF19,238837,IF19,2415717,IF19,583391,IF19,197700,IF19,332,IF19,4860,R_19,5192,IF19,5859,IF19,407065,IF19,9235711,IF19,2123342,IF19,1660623,IF19,14012936,IF19,4120239,IF19,2467238,IF19,11545698,IF19,1026522,IF19,3493760,IF19,15039458,IF19,28896,IF19,25424,IF19,53528,IF19,28927,IF19,9116,IF19,1223256,IF19,801085,IF19,144211,IF19,2891,IF19,1448891,IF19,2686707,IF19,13712458,01/01/2019,12/31/2019,05,2019,05
AS,58500,R_19,58500,58500,1,R_19,1,R_19,0,R_19,2,R_19,2,R_19,8,R_19,10,R_19,0,R_19,317000,R_19,111729,R_19,10426,R_19,439155,R_19,201073,R_19,19973,R_19,221046,R_19,11262,R_19,6809,R_19,4870,R_19,22941,R_19,91428,R_19,335415,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,44397,R_19,1265,R_19,895,R_19,0,R_19,365,R_19,0,R_19,0,R_19,0,R_19,0,R_19,63,R_19,1872,R_19,40307,R_19,492,R_19,14980,R_19,8952,R_19,5464,R_19,686,R_19,8266,R_19,0,R_19,686,R_19,8952,R_19,0,R_19,0,R_19,303,R_19,303,R_19,0,R_19,4909,R_19,4909,R_19,0,R_19,20,R_19,7382,R_19,1393,R_19,343,10/01/2018,09/30/2019,60,2019,09
AZ,11332976,R_19,7187990,7187990,84,R_19,139,R_19,10,R_19,496.3,IF19,602.1,IF19,1546.71,IF19,2148.81,IF19,199767766,IF19,1752611,IF19,1609225,IF19,6897782,IF19,210027384,IF19,84888489,IF19,32596977,IF19,117485466,IF19,14874602,IF19,8973333,IF19,3497247,IF19,27345182,IF19,53247514,IF19,198078162,IF19,23098295,IF19,69000,IF19,0,IF19,412572,IF19,23579867,IF19,10017715,IF19,7632129,IF19,9211176,IF19,572565,IF19,7122669,IF19,1178696,IF19,493590,IF19,480,IF19,2759,R_19,3239,IF19,11147,IF19,499419,IF19,23446011,IF19,2262817,IF19,3158036,IF19,49271934,IF19,13862351,IF19,14054440,IF19,35217494,IF19,8833535,IF19,22887975,IF19,58105469,IF19,472975,IF19,445723,IF19,94996,IF19,47442,IF19,9161,IF19,1726810,IF19,1141404,IF19,118911,IF19,5435,IF19,4245809,IF19,11372940,IF19,40773914,07/01/2018,06/30/2019,04,2019,06
CA,39911441,E_19,39911441,39927315,201,R_19,972,R_19,53,R_19,3420.09,IF19,3691.11,IF19,8791.68,IF19,12482.79,IF19,1678117625,IF19,56678809,IF19,3483082,IF19,102273932,IF19,1840553448,IF19,726113446,IF19,395916558,IF19,1122030004,IF19,90723000,IF19,55939494,IF19,21330033,IF19,167992527,IF19,475550906,IF19,1765573437,IF19,186814290,IF19,100612,IF19,608046,IF19,12249060,IF19,199772008,IF19,94999742,IF19,60245875,IF19,22165644,IF19,3135194,IF19,10554514,IF19,5333816,IF19,2359904,IF19,4675,IF19,490,IF19,5165,IF19,123693,IF19,2502097,R_19,148410446,IF19,16390905,IF19,23513182,IF19,228325855,IF19,92981560,IF19,38449875,IF19,189875980,IF19,46089625,IF19,84539500,IF19,274415480,IF19,3747074,IF19,3461130,IF19,450409,IF19,259410,IF19,43748,IF19,11260846,IF19,8238260,IF19,608265,IF19,24245,R_19,24552124,IF19,58313908,IF19,115159941,07/01/2018,06/30/2019,06,2019,08
CO,5662210,R_19,5604144,5667952,95,R_19,168,R_19,14,R_19,663.34,IF19,969.38,IF19,2521.11,IF19,3490.49,IF19,320477013,IF19,1798012,IF19,734176,IF19,23002086,IF19,346011287,IF19,161962998,IF19,48548514,IF19,210511512,IF19,17407147,IF19,18533553,IF19,7695307,IF19,43636007,IF19,73565192,IF19,327712711,IF19,5342470,IF19,1566255,IF19,33000,IF19,689575,IF19,7631300,IF19,33919240,IF19,9485445,IF19,4547944,IF19,897794,IF19,3932144,IF19,1363985,IF19,650836,IF19,19651,IF19,85,IF19,19736,IF19,19253,IF19,638399,IF19,29581592,IF19,3760251,IF19,3505064,IF19,64122896,IF19,24103051,IF19,12064685,IF19,52058211,IF19,8272070,IF19,20336755,IF19,72394966,IF19,1778790,IF19,1507214,IF19,138928,IF19,83597,IF19,11426,IF19,3063296,IF19,2110329,IF19,184595,IF19,7019,IF19,5122178,IF19,9578695,IF19,38858893,01/01/2019,12/31/2019,08,2019,07
CT,4349902,R_19,3572665,3572665,192,R_19,46,R_19,5,R_19,775.68,IF19,1117.58,IF19,1173.67,IF19,2291.25,IF19,181962029,IF19,957983,IF19,500656,IF19,26222103,IF19,209642771,IF19,125982755,IF19,35315009,IF19,161297764,IF19,11483947,IF19,5207105,IF19,2661240,IF19,19352292,IF19,38648224,IF19,219298280,IF19,19220697,IF19,2580773,IF19,0,IF19,8211471,IF19,30012941,IF19,30782036,IF19,13114727,IF19,2793723,IA19,784985,IF19,1203349,IA19,1312326,IF19,35686,IA19,1671,IF19,7261,IF19,8932,IF19,18003,IF19,556913,IF19,20128731,IF19,3135257,IF19,1515417,IF19,26175255,IF19,9361467,IF19,2702375,IF19,23472880,IF19,2762892,IF19,5465267,IF19,28938147,IF19,974750,IF19,902862,IF19,118858,IF19,58528,IF19,10505,IF19,2347830,IF19,1394836,IF19,134633,IF19,4391,IF19,3563331,IF19,3732461,IF19,12047033,07/01/2018,06/30/2019,09,2019,01
DC,705749,R_19,705749,705749,0,R_19,26,R_19,0,R_19,125,R_19,125,R_19,415,R_19,540,R_19,59660541,R_19,0,R_19,1029875,R_19,137335,R_19,60827751,R_19,36752905,R_19,8685496,R_19,45438401,R_19,2040715,R_19,1679486,R_19,223030,R_19,3943231,R_19,12524702,R_19,61906334,R_19,84809010,R_19,0,R_19,0,R_19,0,R_19,84809010,R_19,70960016,R_19,970927,R_19,32427,R_19,26068,R_19,14053,R_19,76113,R_19,814,R_19,80,R_19,0,R_19,80,R_19,1874,R_19,81734,R_19,3820005,R_19,839892,IA19,446000,R_19,4864772,R_19,1653677,R_19,1582457,R_19,3282315,R_19,1977457,R_19,3559914,R_19,6842229,R_19,5,R_19,75,R_19,13794,R_19,8210,R_19,658,R_19,407560,R_19,271890,R_19,9081,R_19,1000,R_19,944377,R_19,523250,R_19,4932200,10/01/2018,09/30/2019,11,2019,02
DE,967974,R_19,967974,967974,19,R_19,14,R_19,2,R_19,68.23,R_19,128.36,R_19,238.56,R_19,366.92,R_19,26021961,R_19,3842529,R_19,12575,R_19,1696855,R_19,31573920,R_19,14206609,R_19,5127951,R_19,19334560,R_19,1827252,R_19,292275,R_19,413759,R_19,2533286,R_19,8859498,R_19,30727344,R_19,5678803,R_19,1503416,R_19,50000,R_19,1237982,R_19,8470201,R_19,9354194,R_19,1452621,R_19,539458,R_19,121964,R_19,181110,R_19,168410,R_19,21147,R_19,37,R_19,126,R_19,163,R_19,3435,R_19,84787,R_19,4056165,R_19,791659,IF19,324644,R_19,5593421,R_19,1829279,R_19,556806,R_19,5036615,R_19,83914,R_19,640720,R_19,5677335,R_19,787707,R_19,790433,R_19,23482,R_19,7935,R_19,2323,R_19,350797,R_19,158908,R_19,21801,R_19,1045,R_19,509487,R_19,1049567,R_19,1404980,07/01/2018,06/30/2019,10,2019,02
FL,21503969,R_19,21015318,21208589,60,R_19,480,R_19,20,R_19,1751.06,IF19,2009.18,IF19,4462.2,IF19,6471.38,IF19,625455308,IF19,21303280,IF19,1572796,IF19,24990193,IF19,673321577,IF19,264363153,IF19,103375439,IF19,367738592,IF19,33694922,IF19,26392322,IF19,10205706,IF19,70292950,IF19,183120827,IF19,621152369,IF19,32733658,IF19,99244,IF19,0,IF19,3665549,IF19,36498451,IF19,48119735,IF19,26035166,IF19,10571615,IF19,1639841,IF19,46415086,IF19,3433644,IF19,899886,IF19,1020,IF19,5265,R_19,6285,IF19,36348,IF19,1276543,IF19,63288735,IF19,19350692,IF19,12364713,IF19,103313885,IF19,31864274,IF19,19891636,IF19,83422249,IF19,16785567,IF19,36677203,IF19,120099452,IF19,114963,IF19,132521,IF19,277677,IF19,116654,IF19,23802,IF19,5776780,IF19,3331722,IF19,440523,IF19,17358,IF19,13401242,IF19,14694672,IF19,74842061,10/01/2018,09/30/2019,12,2019,05
GA,10766121,R_19,10766121,10766121,61,R_19,338,R_19,9,R_19,595.86,R_19,595.86,R_19,2133.92,R_19,2729.78,R_19,164531418,R_19,35086583,R_19,337362,R_19,14070190,R_19,214025553,R_19,103418366,R_19,44204066,R_19,147622432,R_19,11628802,R_19,5424160,R_19,1926762,R_19,18979724,R_19,39864619,R_19,206466775,R_19,24092131,R_19,12868033,R_19,30000,R_19,409146,R_19,37399310,R_19,37106866,IF19,15817114,R_19,1175116,R_19,503851,R_19,1168910,R_19,1222040,R_19,148385,R_19,278,R_19,3844,R_19,4122,R_19,13309,R_19,832686,R_19,26002521,R_19,6031951,IF19,4309531,R_19,35985756,R_19,15885077,R_19,4381515,R_19,31604241,R_19,1728824,R_19,6110339,R_19,37714580,R_19,18743,IF19,14929,IF19,105045,R_19,52299,R_19,9821,R_19,2548648,R_19,1675232,R_19,162292,R_19,9547,R_19,10964375,R_19,4824449,R_19,41665760,07/01/2018,06/30/2019,13,2019,05
GU,168678,R_19,168678,168678,1,R_19,5,R_19,0,R_19,0,R_19,0,R_19,20,R_19,20,R_19,1217900,R_19,0,R_19,0,R_19,7728,R_19,1225628,R_19,621444,R_19,237476,R_19,858920,R_19,70315,R_19,13077,R_19,0,R_19,83392,R_19,75351,R_19,1017663,R_19,0,R_19,0,R_19,162142,R_19,0,R_19,162142,R_19,0,R_19,278963,R_19,0,R_19,295,R_19,0,R_19,1433,R_19,0,R_19,2,R_19,0,R_19,2,R_19,21,R_19,4011,R_19,100095,R_19,29448,R_19,68298,R_19,33691,R_19,16947,R_19,0,R_19,33691,R_19,0,R_19,0,R_19,33691,R_19,0,R_19,0,R_19,1431,R_19,888,R_19,35,R_19,14103,R_19,12867,R_19,47,R_19,732,R_19,10067,R_19,2438,R_19,83628,10/01/2018,09/30/2019,66,2019,09
HI,1420593,R_19,1420593,1420593,1,R_19,50,R_19,2,R_19,177,R_19,179,R_19,385.5,R_19,564.5,R_19,0,R_19,36878556,R_19,1394598,R_19,1990012,R_19,40263166,R_19,25447179,R_19,258246,R_19,25705425,R_19,2059919,R_19,2882152,R_19,83723,R_19,5025794,R_19,8394974,R_19,39126193,R_19,0,R_19,11700000,R_19,0,R_19,0,R_19,11700000,R_19,2444633,R_19,2895611,R_19,104812,R_19,113000,R_19,31416,R_19,173762,R_19,0,R_19,0,R_19,111,R_19,111,R_19,2276,R_19,93742,R_19,3435595,R_19,542845,R_19,992190,R_19,5624901,R_19,2289922,R_19,878058,R_19,4746843,R_19,32109768,R_19,32987826,R_19,37734669,R_19,163,R_19,31,R_19,12601,R_19,8842,R_19,1659,R_19,293135,R_19,220152,R_19,35080,R_19,583,R_19,793281,R_19,542335,R_19,853189,07/01/2018,06/30/2019,15,2019,08
IA,3095494,R_19,3065260,3148618,543,R_19,24,R_19,4,R_19,315.02,IF19,1019.05,IF19,762.67,IF19,1781.72,IF19,126587731,IF19,2508272,IF19,47108,IF19,9228165,IF19,138371276,IF19,69406712,IF19,23361525,IF19,92768237,IF19,9505032,IF19,3376899,IF19,2816737,IF19,15698668,IF19,24896105,IF19,133363010,IF19,24270086,IF19,802746,IF19,4839,IF19,7531314,IF19,32608985,IF19,26735305,IF19,11602054,IF19,22220442,IF19,640839,IF19,10111224,IF19,1195776,IF19,31564,IF19,1149,IF19,19044,IF19,20193,IF19,23739,IF19,1015288,IF19,16447394,IF19,1539530,IF19,1894288,IF19,24530487,IF19,8908508,IF19,2796955,IF19,21733532,IF19,2689713,IF19,5486668,IF19,27220200,IF19,436741,IF19,359925,IF19,104573,IF19,61959,IF19,9203,IF19,2159842,IF19,1556283,IF19,138292,IF19,5076,IF19,2471388,IF19,4864769,IF19,8167125,07/01/2018,06/30/2019,19,2019,04
ID,1506630,R_19,1506630,1787065,100,R_19,50,R_19,12,R_19,107.61,R_19,237.45,R_19,607.54,R_19,844.99,R_19,58550862,R_19,2104753,R_19,119371,R_19,4749710,R_19,65524696,R_19,28925674,R_19,9335071,R_19,38260745,R_19,3941181,R_19,2014160,R_19,887701,R_19,6843042,R_19,16397645,R_19,61501432,R_19,1187312,R_19,30758,R_19,72583,R_19,763465,R_19,2054118,R_19,4674151,R_19,4238484,IF19,831813,R_19,219783,R_19,407520,R_19,374972,R_19,953,R_19,166,R_19,5304,R_19,5470,R_19,4705,R_19,286389,IF19,8291157,R_19,1048781,IF19,890519,R_19,16380775,R_19,7003313,IF19,1925472,R_19,14455303,R_19,1268205,R_19,3193677,R_19,17648980,R_19,852180,R_19,802922,R_19,40593,R_19,24335,R_19,4186,R_19,1027183,R_19,709017,R_19,66539,R_19,2144,R_19,1397108,IF19,2451662,IF19,8198182,10/01/2018,09/30/2019,16,2019,07
IL,11730170,R_19,11730170,12741080,623,R_19,156,R_19,17,R_19,2240.46,R_19,3280.84,R_19,5301.04,R_19,8581.88,R_19,799247755,R_19,31286743,R_19,2362964,R_19,45885092,R_19,878782554,R_19,396731250,IF19,111273821,IF19,508005071,IF19,43609436,IF19,27890347,IF19,13744894,IF19,85244677,IF19,192117165,IF19,785366913,IF19,38443559,R_19,1875511,IF19,26937,IF19,5731776,IF19,46077783,IF19,69538142,IF19,38460088,IF19,33600083,IF19,2798372,IF19,15902618,IF19,3797701,IF19,1248005,IF19,6579,IF19,8099,R_19,14678,IF19,89176,IF19,1928415,R_19,60853034,IF19,8972942,IF19,4652077,IF19,105751742,IF19,40491856,IF19,11093021,IF19,94658721,R_19,27881108,IF19,38974129,IF19,133632850,IF19,6069156,IF19,6093951,IF19,255414,IF19,143641,IF19,29894,IF19,5522573,IF19,3709927,IF19,422014,IF19,16552,R_19,9656121,IF19,29817175,IF19,62395831,12/01/2017,06/30/2019,17,2019,03
