STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
NV,3056542,R_19,3056542,3057582,20,R_19,65,R_19,3,R_19,185.48,R_19,227.86,R_19,637.39,R_19,865.25,R_19,72841742,R_19,26406660,R_19,1168799,R_19,4125659,R_19,104542860,R_19,47285556,R_19,19611538,R_19,66897094,R_19,5449384,R_19,6434491,R_19,2820778,R_19,14704653,R_19,19075699,R_19,100677446,R_19,1248943,R_19,0,R_19,0,R_19,550,R_19,1249493,R_19,21145980,R_19,3688336,R_19,834038,R_19,247640,R_19,310477,R_19,571631,R_19,86833,R_19,300,R_19,1034,R_19,1334,R_19,4660,R_19,165813,R_19,9391337,R_19,1094077,R_19,1359500,R_19,17396697,R_19,5549349,R_19,3496454,R_19,13900243,R_19,3321846,R_19,6818300,R_19,20718543,R_19,31389,R_19,34016,R_19,31228,R_19,17745,R_19,4030,R_19,753380,R_19,463960,R_19,64888,R_19,1465,R_19,2526052,R_19,1449386,IF19,12260758,07/01/2018,06/30/2019,32,2019,08
NY,19563197,R_19,19378102,19378102,755,R_19,314,R_19,13,R_19,3657.08,IF19,4450.39,IF19,8409.21,IF19,12859.6,IF19,1269952231,IF19,63320099,IF19,4898894,IF19,205216647,IF19,1543387871,IF19,689350083,IF19,301950142,IF19,991300225,IF19,60581664,IF19,30604077,IF19,13265623,IF19,104451364,IF19,274778209,IF19,1370529798,IF19,83340233,IF19,28673736,IF19,0,IF19,122758182,IF19,234772151,IF19,224162920,IF19,64494140,IF19,38646567,IF19,2880093,IF19,10105689,IF19,5495854,IF19,637420,IF19,13067,IF19,12090,IF19,25157,IF19,150098,IF19,2467877,IF19,95175355,IF19,26175586,IF19,11298570,IF19,110536318,IF19,34725754,IF19,17690274,IF19,92846044,IF19,8314973,IF19,26005247,IF19,118851291,IF19,7142910,IF19,7276081,IF19,679203,IF19,275957,IF19,73132,IF19,12040899,IF19,5996834,IF19,984262,IF19,19426,IF19,15727896,IF19,18058663,IF19,107317678,04/01/2018,12/31/2019,36,2019,02
OH,11510799,R_19,11502271,11502271,239,R_19,481,R_19,56,R_19,2057.05,IF19,2872.43,IF19,6596.55,IF19,9468.98,IF19,425178884,IF19,409706622,IF19,426606,IF19,83015251,IF19,918327363,IF19,378995541,IF19,123867551,IF19,502863092,IF19,45626264,IF19,30241305,IF19,30453470,IF19,106321039,IF19,173863265,IF19,783047396,IF19,44550,IF19,26033,IF19,112412,IF19,87068671,IF19,87251666,IF19,86062002,IF19,37946591,IF19,110549795,IF19,3045679,IF19,48384630,IF19,5615089,IF19,5916693,IF19,2401,R_19,15562,R_19,17963,R_19,92499,IF19,1952422,IF19,67937539,IF19,16533553,IF19,8473198,IF19,178936541,IF19,55554768,IF19,26412291,IF19,152524250,IF19,21844744,IF19,48257035,IF19,200781285,IF19,10927164,IF19,11779653,IF19,308471,IF19,194446,IF19,29084,IF19,7197722,IF19,5170798,IF19,465767,IF19,14268,IF19,12597536,IF19,23840254,IF19,-1,01/01/2019,12/31/2019,39,2019,03
OK,3244166,R_19,3219371,3956971,119,R_19,96,R_19,4,R_19,280.18,IF19,883.48,R_19,682.53,R_19,1566.01,R_19,125205866,R_19,1691664,R_19,548022,R_19,5020491,R_19,132466043,R_19,61591458,R_19,21614738,R_19,83206196,R_19,8352909,R_19,7083997,R_19,2850988,R_19,18287894,R_19,24412809,R_19,125906899,R_19,251295,R_19,878,R_19,10716,R_19,1091355,R_19,1354244,R_19,4908245,R_19,6152180,R_19,5813651,R_19,334495,R_19,1844255,R_19,593056,IF19,189464,R_19,513,R_19,4403,R_19,4916,R_19,29317,IF19,516098,R_19,13168513,R_19,1656948,R_19,1966138,R_19,25524348,R_19,9590258,R_19,4865532,R_19,20658816,R_19,4656615,IF19,9522147,IF19,30180963,IF19,38773,IF19,79227,IF19,52918,R_19,28825,R_19,7258,R_19,1444264,R_19,967949,R_19,106641,R_19,3187,R_19,2792768,R_19,5403665,IF19,11914039,07/01/2018,06/30/2019,40,2019,06
OR,3878377,R_19,3694645,4195300,136,R_19,85,R_19,6,R_19,452.13,IF19,546.58,IF19,1419.3,IF19,1965.88,IF19,252340482,IF19,782179,IF19,906103,IF19,14344382,IF19,268373146,IF19,102135791,IF19,55455525,IF19,157591316,IF19,11802252,IF19,9006996,IF19,3498988,IF19,24308236,IF19,60629232,IF19,242528784,IF19,35805854,IF19,7170,IF19,0,IF19,1403512,IF19,37216536,IF19,11860527,IF19,8729458,IF19,8347290,IF19,626043,IF19,4673429,IF19,1003021,IF19,710489,IF19,1158,IF19,3330,IF19,4488,IF19,12635,IF19,440967,IF19,19632424,IF19,1746603,IF19,2160740,IF19,54203756,IF19,12086221,IF19,7780546,IF19,46423210,IF19,2087175,IF19,9867721,IF19,56290931,IF19,60570,IF19,58595,IF19,74233,IF19,47832,IF19,6722,IF19,1751477,IF19,1332100,IF19,101304,IF19,3006,IF19,2655545,IF19,8627851,IF19,32957992,07/01/2018,06/30/2019,41,2019,08
PA,12446590,R_19,12434855,12702379,448,R_19,174,R_19,21,R_19,1143.07,IF19,1642.95,IF19,3147.42,IF19,4790.37,IF19,169844208,IF19,57663592,IF19,814105,IF19,68566528,IF19,296888433,IF19,185514306,IF19,71072996,IF19,256587302,IF19,19463969,IF19,10216517,IF19,4955801,IF19,34636287,IF19,83537608,IF19,374761197,IF19,696560,IF19,709881,IF19,92102,IF19,14771003,IF19,16269546,IF19,30550020,IF19,23930321,IF19,12507394,IF19,1666457,IF19,5565115,IF19,2124972,IF19,1765018,IF19,12173,R_19,48816,R_19,60989,R_19,42352,IF19,1477341,IF19,40275669,IF19,7563294,IF19,5372790,IF19,64083665,IF19,21681202,IF19,9075918,IF19,55007747,IF19,15488523,IF19,24564441,IF19,79572188,IF19,4893436,IF19,4878849,IF19,271498,IF19,165985,IF19,25797,IF19,4878313,IF19,3439128,IF19,283707,IF19,7983,IF19,5218475,IF19,9463699,IF19,29216447,01/01/2019,12/31/2019,42,2019,02
RI,1424662,R_19,1052566,1052566,47,R_19,24,R_19,2,R_19,229.47,R_19,250.04,R_19,364.76,R_19,614.8,R_19,37702389,R_19,9316045,R_19,443324,R_19,7565491,R_19,55027249,R_19,29319226,R_19,10132643,R_19,39451869,R_19,2368881,R_19,633638,R_19,618219,R_19,3620738,R_19,10931653,R_19,54004260,R_19,370067,R_19,597735,R_19,0,R_19,3284790,R_19,4252592,R_19,4200161,R_19,3144045,R_19,3565311,R_19,152187,R_19,1154008,R_19,282153,R_19,42203,R_19,199,R_19,1776,R_19,1975,R_19,4139,R_19,162605,R_19,5170991,R_19,511160,R_19,385428,R_19,6675444,R_19,2211506,R_19,940274,R_19,5735170,R_19,356830417,R_19,357770691,R_19,363505861,R_19,1143874,R_19,1154278,R_19,35649,R_19,15525,R_19,4212,R_19,556915,R_19,250915,R_19,48437,R_19,1459,R_19,761870,R_19,738571,IF19,2423732,07/01/2018,06/30/2019,44,2019,01
SC,4652360,R_19,4652360,4652360,42,R_19,160,R_19,31,R_19,514.36,R_19,587.55,R_19,1524.52,R_19,2112.07,R_19,143953189,R_19,9803909,R_19,250321,R_19,4525287,R_19,158532706,R_19,73555257,R_19,29393043,R_19,102948300,R_19,10129015,R_19,6280791,R_19,3403102,R_19,19812908,R_19,24820265,R_19,147581473,R_19,9615251,R_19,50478,R_19,149600,R_19,0,R_19,9815329,R_19,12820391,R_19,8483320,R_19,3792237,R_19,413452,R_19,3129387,R_19,802519,R_19,422210,R_19,367,R_19,2142,R_19,2509,R_19,36027,R_19,512509,R_19,13591790,R_19,2545022,R_19,2579738,R_19,24546176,R_19,8831490,R_19,4475701,R_19,20070475,R_19,8201188,R_19,12676889,R_19,32747364,R_19,342733,R_19,367928,R_19,50439,R_19,28070,R_19,4915,R_19,1274633,R_19,875869,R_19,132654,R_19,4332,R_19,3116061,R_19,3641987,R_19,18086380,07/01/2018,06/30/2019,45,2019,05
SD,1270281,R_19,774127,884659,111,R_19,30,R_19,4,R_19,44.86,IF19,174.11,IF19,182.87,IF19,356.98,IF19,27122714,IF19,0,IF19,302764,IF19,994884,IF19,28420362,IF19,14240412,IF19,4555426,IF19,18795838,IF19,1894388,IF19,1016679,IF19,451498,IF19,3362565,IF19,5056041,IF19,27214444,IF19,889483,IF19,0,IF19,0,IF19,143625,IF19,1033108,IF19,1316283,IF19,2767347,IF19,2112628,IF19,130591,IF19,826322,IF19,179967,IF19,830,IF19,190,IF19,6352,IF19,6542,IF19,3891,IF19,259503,IF19,3692708,IF19,360210,IF19,374040,IF19,5821652,IF19,2434438,IF19,800870,IF19,5020782,IF19,429009,IF19,1229879,IF19,6250661,IF19,32020,IF19,41820,IF19,16732,IF19,11500,IF19,1723,IF19,332099,IF19,256955,IF19,22325,IF19,1128,IF19,947131,IF19,889931,IF19,1600192,01/01/2019,12/31/2019,46,2019,04
TN,6600484,R_19,6600484,6770010,186,R_19,98,R_19,3,R_19,308.2,R_19,646.49,R_19,1335.36,R_19,1981.85,R_19,132575721,R_19,355437,R_19,379963,R_19,7047167,R_19,140358288,R_19,67370077,R_19,23444488,R_19,90814565,R_19,9232000,R_19,3770734,R_19,1284304,R_19,14287038,R_19,30466763,R_19,135568366,R_19,10037957,R_19,139715,R_19,13361,R_19,994632,R_19,11185665,R_19,10838010,R_19,10883669,R_19,25323904,R_19,519870,IF19,11685009,IF19,817309,R_19,675719,IF19,446,R_19,12648,R_19,13094,R_19,9572,R_19,645823,R_19,18036275,IF19,3317971,IF19,3359946,R_19,28621253,R_19,10246094,R_19,6822741,R_19,21798512,R_19,4244195,IF19,11066936,IF19,32865448,IF19,118258,IF19,137038,IF19,87628,R_19,42778,R_19,12521,R_19,1749093,R_19,1162969,R_19,147356,R_19,5915,R_19,4165540,R_19,4906425,IF19,18597586,07/01/2018,06/30/2019,47,2019,05
TX,26435056,IF19,26315238,28701845,553,R_19,328,R_19,12,R_19,1759.56,IF19,2607.63,IF19,4548.47,IF19,7156.1,IF19,566569119,IF19,77452,IF19,1935876,IF19,21804699,IF19,590387146,IF19,286657088,IF19,114126306,IF19,400783394,IF19,37411846,IF19,20529147,IF19,9320096,IF19,67261089,IF19,109892059,IF19,577936542,IF19,18471607,IF19,0,IF19,180655,IF19,4301733,IF19,22953995,IF19,50710668,IF19,36611607,IF19,12865278,IF19,1912210,IF19,5384204,IF19,3461535,IF19,522865,IF19,2622,IF19,30616,IF19,33238,IF19,38683,IF19,1962700,IF19,66097346,IF19,13453389,IF19,14887314,IF19,116614471,IF19,48120080,IF19,17280509,IF19,99333962,IF19,39219684,IF19,56500193,IF19,155834155,IF19,647872,IF19,689795,IF19,322088,IF19,166156,IF19,31795,IF19,7310988,IF19,5009937,IF19,495476,IF19,20980,IF19,11418535,IF19,65610826,IF19,63166487,02/01/2018,12/31/2019,48,2019,06
UT,3096581,R_19,3096581,3161105,61,R_19,61,R_19,13,R_19,254.77,IF19,425.69,R_19,919.47,R_19,1345.16,R_19,124027825,R_19,1267087,R_19,352010,R_19,4145425,IF19,129792347,IF19,52769577,R_19,23257349,R_19,76026926,R_19,7816815,R_19,4188851,IF19,2655135,IF19,14660801,IF19,28346698,R_19,119034425,IF19,13342272,IF19,35962,IF19,6000,IF19,60132,IF19,13444366,IF19,11860826,IF19,6358748,R_19,3911044,R_19,584485,R_19,3131194,R_19,696778,R_19,157731,R_19,233,R_19,3925,R_19,4158,R_19,8266,IF19,319040,IF19,14821815,IF19,2769644,IF19,1752182,R_19,35488257,R_19,15790599,IF19,5667457,R_19,29820800,R_19,1213253,IF19,6880710,IF19,36701510,IF19,43583,R_19,51958,R_19,50954,IF19,30432,IF19,5378,IF19,1539068,IF19,1097285,IF19,97032,IF19,2465,IF19,1956660,IF19,3926709,IF19,13549417,07/01/2018,12/31/2019,49,2019,07
VA,8403629,R_19,8403537,8535519,82,R_19,282,R_19,23,R_19,927.95,R_19,1046.39,R_19,3234.52,R_19,4280.91,R_19,290397064,R_19,15984434,R_19,48747,R_19,1990390,R_19,308420635,R_19,163580815,R_19,57013508,R_19,220594323,R_19,17590995,R_19,9485725,R_19,4564382,R_19,31641102,R_19,53149308,R_19,305384733,R_19,12848842,R_19,0,IF19,0,IF19,470915,IF19,13319757,R_19,10053157,R_19,15399727,R_19,15224705,R_19,866211,R_19,8872981,R_19,1332642,R_19,1338411,IF19,813,R_19,5301,R_19,6114,R_19,21631,R_19,937405,R_19,33548345,R_19,6333620,IF19,4860537,R_19,60979381,R_19,24003490,IF19,9190129,IF19,51789252,R_19,8953052,IF19,18143181,IF19,69932433,R_19,134899,IF19,162678,R_19,139905,R_19,80850,R_19,12167,R_19,3211194,R_19,2124890,R_19,202884,R_19,8083,R_19,5759206,IF19,11764719,IF19,30618129,07/01/2018,06/30/2019,51,2019,05
VI,106405,R_19,106405,106405,0,R_19,5,R_19,3,R_19,3,R_19,3,R_19,23,R_19,26,R_19,0,R_19,1259666,R_19,132561,R_19,56240,R_19,1448467,R_19,736291,R_19,338424,R_19,1074715,R_19,59127,R_19,0,R_19,0,R_19,59127,R_19,314625,R_19,1448467,R_19,-1,U_19,-1,U_19,-1,U_19,-1,U_19,-1,U_19,-1,U_19,176762,R_19,-1,U_19,629,R_19,-1,U_19,4637,R_19,-1,U_19,-1,U_19,-1,U_19,-1,U_19,77,R_19,7840,R_19,-1,U_19,-1,U_19,-1,U_19,13106,R_19,4639,R_19,-1,U_19,13106,R_19,-1,U_19,-1,U_19,13106,R_19,-1,U_19,-1,U_19,5,R_19,4,R_19,1,R_19,100,R_19,70,R_19,30,R_19,15,R_19,-1,U_19,-1,U_19,-1,10/01/2018,09/30/2019,78,2019,09
VT,631386,R_19,603973,626299,183,R_19,3,R_19,4,R_19,77.09,IF19,252.15,IF19,134.83,IF19,386.98,IF19,21909683,IF19,0,R_19,47982,IF19,4590436,IF19,26548101,IF19,15575840,IF19,4137726,IF19,19713566,IF19,1763551,IF19,377143,IF19,422335,IF19,2563029,IF19,5878095,IF19,28154690,IF19,329840,IF19,103840,IF19,219907,IF19,2072661,IF19,2726248,IF19,3201165,IF19,2922933,IF19,1532115,IF19,131636,IF19,1358035,IF19,247207,IF19,1744,IF19,708,IF19,9384,R_19,10092,IF19,5038,IF19,281722,IF19,3480676,IF19,410505,IF19,320162,IF19,4256188,IF19,1380456,IF19,445050,IF19,3811138,IF19,186432,IF19,631482,IF19,4442620,IF19,78290,IF19,81891,IF19,31810,IF19,16842,IF19,2006,IF19,448576,IF19,285143,IF19,17089,IF19,1082,IF19,436609,IF19,615044,IF19,1811568,01/01/2018,12/31/2019,50,2019,01
WA,7436699,R_19,7436699,7546410,52,R_19,298,R_19,30,R_19,757.75,IF19,874.37,IF19,3030.73,IF19,3905.1,IF19,473920743,IF19,392886,IF19,681533,IF19,25220694,IF19,500215856,IF19,228948003,IF19,91367018,IF19,320315021,IF19,26588230,IF19,21917938,IF19,7877479,IF19,56383647,IF19,93320911,IF19,470019579,IF19,6263780,IF19,35000,IF19,0,IF19,2122331,IF19,8421111,IF19,17959580,IF19,11857230,IF19,5303739,R_19,937540,IF19,2022571,R_19,1398966,IF19,252122,IF19,1063,IF19,1516,R_19,2579,R_19,41722,IF19,819184,IF19,36055237,IF19,3294008,IF19,4130090,IF19,86799553,IF19,27629858,IF19,21334889,R_19,65464664,IF19,8375800,IF19,29710689,IF19,95175353,IF19,634195,IF19,688524,IF19,108870,IF19,59949,IF19,14728,IF19,2463752,IF19,1656203,IF19,358647,IF19,6743,IF19,6109495,IF19,23044416,IF19,24673301,01/01/2019,12/31/2019,53,2019,08
WI,5843443,R_19,5843443,5843443,378,R_19,82,R_19,6,R_19,754.88,R_19,1241.72,R_19,1877.05,R_19,3118.77,R_19,235168909,R_19,4110135,R_19,418254,R_19,27295307,R_19,266992605,R_19,130070719,R_19,40871341,R_19,170942060,R_19,15806568,R_19,3124603,R_19,5917546,R_19,24848717,R_19,53272278,R_19,249063055,R_19,23528320,R_19,6996,R_19,1177911,R_19,5983514,R_19,30696741,R_19,33417602,R_19,17776511,R_19,60199227,IF19,1477203,R_19,22776171,IF19,2295803,R_19,533272,IF19,2459,R_19,19050,R_19,21509,R_19,31566,R_19,1090249,R_19,29071153,IF19,3709965,IF19,3103291,IF19,54093419,R_19,19431885,R_19,6135627,IF19,47957792,R_19,3524243,IF19,9659870,IF19,57617662,IF19,8549054,R_19,8671983,R_19,122607,R_19,70044,R_19,9346,R_19,2851692,IF19,2007222,IF19,137826,IF19,6416,R_19,3485019,IF19,12434486,IF19,16658850,01/01/2019,12/31/2019,55,2019,03
WV,1852994,R_19,1852994,1852994,97,R_19,73,R_19,9,R_19,85.46,R_19,380.59,R_19,272.38,R_19,652.97,R_19,28701511,R_19,9923743,R_19,48904,R_19,3611516,R_19,42285674,R_19,19144370,R_19,5778362,R_19,24922732,R_19,3125757,R_19,1392337,R_19,782083,R_19,5300177,R_19,8151349,R_19,38374258,R_19,553310,R_19,460351,R_19,448127,R_19,1150301,R_19,2612089,R_19,2791732,R_19,4735712,R_19,9084892,IF19,203906,R_19,19438250,R_19,362498,R_19,664018,R_19,357,R_19,1649,R_19,2006,R_19,5121,R_19,372886,R_19,4666875,R_19,619933,R_19,947703,R_19,6412643,R_19,1962994,IF19,1184598,R_19,5228045,R_19,1878323,IF19,3062921,IF19,8290966,IF19,105382,IF19,107418,IF19,27869,R_19,18680,R_19,2103,R_19,485704,R_19,366833,R_19,28380,R_19,1383,R_19,730380,R_19,193076,R_19,4166817,07/01/2018,06/30/2019,54,2019,05
WY,577737,R_19,577737,579315,23,R_19,53,R_19,2,R_19,50.65,R_19,162.74,R_19,239.98,R_19,402.72,R_19,29771355,R_19,0,IF19,0,IF19,2325792,R_19,32097147,IF19,16863438,R_19,6634691,R_19,23498129,R_19,1492660,IF19,543960,IF19,633220,IF19,2669840,IF19,5960159,IF19,32128128,IF19,76921,IF19,0,IF19,0,IF19,0,IF19,76921,IF19,191234,IF19,2247490,IF19,1396463,R_19,158272,IF19,956534,R_19,255227,IF19,75379,IF19,69,IF19,1794,R_19,1863,IF19,2961,R_19,137376,R_19,3124031,R_19,449936,IF19,366080,R_19,4505787,IF19,1732605,R_19,510957,IF19,3994830,R_19,2698169,R_19,3209126,IF19,7203956,IF19,35895,R_19,30091,IF19,16177,R_19,10735,R_19,1849,R_19,360437,R_19,263316,R_19,24682,IF19,897,R_19,621399,IF19,441545,IF19,860570,07/01/2018,06/30/2019,56,2019,07
